10
0.0000  7.5400  8.2900  2.2400  9.0400  8.6000  8.6400  0.0000  2.8400  8.4400
0.0000  0.0000  0.0000  3.4100  0.0000  0.0000  0.0000  6.7000  0.0000  3.5900
4.4500  9.4200  0.0000  0.0000  5.3500  0.0000  0.0000  8.2500  0.0000  7.5200
1.5900  0.0000  7.9400  0.0000  6.8000  0.0000  7.0800  2.8100  0.0000  0.0000
3.4000  5.3600  0.1300  9.1000  0.0000  0.0000  0.5800  0.0000  6.0700  7.2200
0.0800  0.0000  0.0000  3.7200  4.2700  0.0000  0.0000  2.2700  0.0000  0.2900
0.0000  0.0000  0.0000  2.2000  0.3800  2.8700  0.0000  0.0000  0.0000  0.5400
0.0000  0.0000  0.1800  0.0000  6.3200  5.5200  0.0000  0.0000  7.6800  0.0000
0.0000  7.3900  0.0000  1.1800  1.7200  0.0000  6.2800  6.9500  0.0000  1.3000
0.0000  0.0000  8.8800  4.6200  0.0000  0.0000  9.7100  0.0000  0.0000  0.0000
